"start_station_name","end_station_name","route_freq","start_lat","start_lng","end_lat","end_lng"
"Clarendon Ave & Gordon Ter","Broadway & Waveland Ave",850,41.957595,-87.6498335,41.949074,-87.648636
"State St & 33rd St","Rhodes Ave & 32nd St",850,41.834601402,-87.62652116666666,41.836208,-87.61732616666667
"Ellis Ave & 60th St","Ellis Ave & 60th St",844,41.784950256,-87.60123633333333,41.78509714636,-87.601096
"DuSable Lake Shore Dr & Diversey Pkwy","DuSable Lake Shore Dr & Diversey Pkwy",841,41.93245433333333,-87.63653316666667,41.932588,-87.636427
"Wells St & Elm St","Wells St & Concord Ln",840,41.902440166666665,-87.634993196,41.91183133333333,-87.63487666666667
"Ellis Ave & 53rd St","University Ave & 57th St",831,41.799270868,-87.60117916666667,41.791478,-87.599861
"Wells St & Elm St","Wells St & Huron St",829,41.90267383333333,-87.634983659,41.894722,-87.634568
"Theater on the Lake","Theater on the Lake",824,41.917700833333335,-87.631255,41.9262525,-87.65006733333334
"Broadway & Waveland Ave","Clarendon Ave & Gordon Ter",824,41.9433502470174,-87.67066776752472,41.95775066666667,-87.64961616666666
"Clark St & Winnemac Ave","Ravenswood Ave & Lawrence Ave",822,41.97325778,-87.667949796,41.9690545,-87.67425383333334
"Halsted St & Maxwell St","Halsted St & Polk St",818,41.864614964,-87.647282839,41.87172266666666,-87.64670516666666
"State St & 33rd St","State St & 33rd St",815,41.834643666666665,-87.62595866666666,41.83473166666667,-87.62588066666666
"Desplaines St & Kinzie St","Kingsbury St & Kinzie St",815,41.8882985,-87.644647598,41.889029,-87.647686
"Broadway & Cornelia Ave","Broadway & Barry Ave",814,41.945376333333336,-87.646643877,41.93758231600629,-87.64420383333334
"Halsted St & Roosevelt Rd","Loomis St & Lexington St",809,41.867274642,-87.648723125,41.872114,-87.66159933333333
"Ellis Ave & 53rd St","Ellis Ave & 55th St",803,41.79917717,-87.60123583333333,41.79430062054,-87.6014497734
"Ravenswood Ave & Lawrence Ave","Clark St & Winnemac Ave",802,41.95642791666667,-87.67436883333333,41.97333783333333,-87.66795616666667
"Broadway & Belmont Ave","Wilton Ave & Belmont Ave",799,41.939959,-87.645739794,41.940029,-87.65304
"Kimbark Ave & 53rd St","Ellis Ave & 60th St",781,41.79939816666667,-87.594957,41.78509714636,-87.60112833333334
"Lakefront Trail & Bryn Mawr Ave","Lakefront Trail & Bryn Mawr Ave",765,41.983929833333335,-87.65251966666666,41.98403669612,-87.6523104689
"Fairbanks Ct & Grand Ave","Wabash Ave & Grand Ave",764,41.8902045,-87.6284555,41.89130416666666,-87.626870871
"DuSable Lake Shore Dr & Monroe St","DuSable Lake Shore Dr & Monroe St",762,41.88089833333333,-87.616831,41.880958,-87.616743
"Kingsbury St & Kinzie St","Kingsbury St & Erie St",757,41.888923166666665,-87.6387975,41.89349233333333,-87.641744614
"Indiana Ave & Roosevelt Rd","Indiana Ave & Roosevelt Rd",756,41.867771864,-87.6240635,41.867888,-87.623041
"University Ave & 57th St","Woodlawn Ave & 55th St",753,41.791404,-87.60292053222655,41.795264,-87.59651633333333
"Aberdeen St & Jackson Blvd","Loomis St & Lexington St",743,41.877609,-87.655012965,41.872187,-87.66164366666666
"Wells St & Elm St","Wells St & Hubbard St",741,41.9025745,-87.635124326,41.889860868,-87.634400845
"Morgan St & Polk St","May St & Taylor St",735,41.871737,-87.65130233333333,41.8694035,-87.6554864
"Throop St & Taylor St","Halsted St & Polk St",734,41.868699166666666,-87.659161091,41.87180583333333,-87.64668866666666
"Southport Ave & Waveland Ave","Southport Ave & Irving Park Rd",728,41.947894573,-87.66426916666667,41.9540595,-87.664358
"Clarendon Ave & Gordon Ter","Sheridan Rd & Irving Park Rd",725,41.9433502470174,-87.67066776752472,41.954245,-87.6544445
"Southport Ave & Waveland Ave","Southport Ave & Roscoe St",714,41.9479305,-87.664274335,41.943739,-87.66402
"Sheffield Ave & Fullerton Ave","Racine Ave & Fullerton Ave",708,41.917893887,-87.65385383333333,41.9255615,-87.65845566666667
"DuSable Lake Shore Dr & Wellington Ave","DuSable Lake Shore Dr & Wellington Ave",706,41.93657666666667,-87.6369165,41.91570316666667,-87.69491883333333
"University Ave & 57th St","Shore Dr & 55th St",705,41.79137816666667,-87.60012783333333,41.795212,-87.5810275
"Wilton Ave & Belmont Ave","Halsted St & Roscoe St",703,41.9398095,-87.65317316666666,41.94354533333333,-87.649204969
"Clarendon Ave & Junior Ter","Broadway & Waveland Ave",700,41.96079816666666,-87.64971292,41.949074,-87.648636
"Sheridan Rd & Buena Ave","Sheridan Rd & Irving Park Rd",699,41.958416939,-87.65518866666666,41.954245,-87.65442016666667
"Kingsbury St & Kinzie St","Clinton St & Madison St",698,41.888897166666666,-87.63876533333334,41.882114666666666,-87.641781
"Broadway & Barry Ave","Broadway & Barry Ave",695,41.937407851,-87.658912897,41.93758231600629,-87.644112
"Harper Ave & 59th St","Ellis Ave & 58th St",693,41.78768633333333,-87.588547,41.788572333333335,-87.601379037
"Kimbark Ave & 53rd St","Woodlawn Ave & 55th St",690,41.799461,-87.594914,41.79524883333333,-87.596471
"Walsh Park","Walsh Park",689,41.9144005,-87.668051481,41.91461,-87.667968
"Halsted St & Polk St","Throop St & Taylor St",688,41.871624589,-87.6468125,41.868765,-87.659141
"Southport Ave & Wrightwood Ave","Sheffield Ave & Fullerton Ave",683,41.928615332,-87.664061189,41.92557466666667,-87.65381866666667
"Southport Ave & Irving Park Rd","Southport Ave & Roscoe St",682,41.953977585,-87.6644985,41.943739,-87.664099
