"member_casual","date","hour","day_of_week","day","month","year","count"
"casual","2021-12-05",4,"Monday",5,12,2021,31
"casual","2021-12-05",5,"Monday",5,12,2021,18
"casual","2021-12-05",6,"Monday",5,12,2021,29
"casual","2021-12-05",7,"Monday",5,12,2021,32
"casual","2021-12-05",8,"Monday",5,12,2021,66
"casual","2021-12-05",9,"Monday",5,12,2021,59
"casual","2021-12-05",10,"Monday",5,12,2021,95
"casual","2021-12-05",11,"Monday",5,12,2021,90
"casual","2021-12-05",12,"Monday",5,12,2021,49
"casual","2021-12-05",13,"Monday",5,12,2021,57
"casual","2021-12-05",14,"Monday",5,12,2021,117
"casual","2021-12-05",15,"Monday",5,12,2021,139
"casual","2021-12-05",16,"Monday",5,12,2021,76
"casual","2021-12-05",17,"Monday",5,12,2021,64
"casual","2021-12-05",18,"Monday",5,12,2021,65
"casual","2021-12-05",19,"Monday",5,12,2021,53
"casual","2021-12-05",20,"Monday",5,12,2021,47
"casual","2021-12-05",21,"Monday",5,12,2021,64
"casual","2021-12-05",22,"Monday",5,12,2021,42
"casual","2021-12-05",23,"Monday",5,12,2021,48
"casual","2021-12-06",0,"Tuesday",6,12,2021,29
"casual","2021-12-06",1,"Tuesday",6,12,2021,9
"casual","2021-12-06",2,"Tuesday",6,12,2021,8
"casual","2021-12-06",3,"Tuesday",6,12,2021,6
"casual","2021-12-06",4,"Tuesday",6,12,2021,10
"casual","2021-12-06",5,"Tuesday",6,12,2021,23
"casual","2021-12-06",6,"Tuesday",6,12,2021,36
"casual","2021-12-06",7,"Tuesday",6,12,2021,89
"casual","2021-12-06",8,"Tuesday",6,12,2021,79
"casual","2021-12-06",9,"Tuesday",6,12,2021,66
"casual","2021-12-06",10,"Tuesday",6,12,2021,71
"casual","2021-12-06",11,"Tuesday",6,12,2021,84
"casual","2021-12-06",12,"Tuesday",6,12,2021,84
"casual","2021-12-06",13,"Tuesday",6,12,2021,106
"casual","2021-12-06",14,"Tuesday",6,12,2021,86
"casual","2021-12-06",15,"Tuesday",6,12,2021,118
"casual","2021-12-06",16,"Tuesday",6,12,2021,142
"casual","2021-12-06",17,"Tuesday",6,12,2021,139
"casual","2021-12-06",18,"Tuesday",6,12,2021,93
"casual","2021-12-06",19,"Tuesday",6,12,2021,62
"casual","2021-12-06",20,"Tuesday",6,12,2021,27
"casual","2021-12-06",21,"Tuesday",6,12,2021,42
"casual","2021-12-06",22,"Tuesday",6,12,2021,43
"casual","2021-12-06",23,"Tuesday",6,12,2021,28
